iter	RMSE
0	1.092683428
1	1.072249552
2	1.055310244
3	1.041405679
4	1.029615962
5	1.019965445
6	1.011923397
7	1.005308275
8	0.9999462648
9	0.9955015884
10	0.9918944817
11	0.9888591587
12	0.9864118383
13	0.9842979978
14	0.9826129592
15	0.9812160995
16	0.98011081
17	0.979175248
18	0.9784351299
19	0.977791897
20	0.9772733981
21	0.9768500708
22	0.9764913229
23	0.9761657223
24	0.9759123593
25	0.9757115885
26	0.9755534591
27	0.9754115173
28	0.9752992474
29	0.9752125692
30	0.9751164252
31	0.9750340765
32	0.9749731105
33	0.9749382451
34	0.9748929836
35	0.9748561023
36	0.9748243614
37	0.9747967015
38	0.9747719866
39	0.9747601479
40	0.9747428841
41	0.9747301635
42	0.9747180123
43	0.9747058651
44	0.974698263
45	0.9746908057
46	0.9746829863
47	0.9746757013
48	0.974670498
49	0.9746650548
50	0.9746630934
51	0.974661022
52	0.9746571366
53	0.9746528861
54	0.974648731
55	0.9746472584
56	0.97464486
57	0.9746429923
58	0.9746412193
59	0.9746392018
60	0.9746386677
61	0.9746371848
62	0.9746334064
63	0.9746325737
