iter	Passed	Remaining
0	67	67377
1	133	66664
2	203	67563
3	269	67149
4	333	66458
5	398	66007
6	467	66277
7	533	66198
8	599	66037
9	664	65813
10	728	65538
11	793	65370
12	863	65528
13	926	65267
14	992	65161
15	1058	65094
16	1129	65292
17	1194	65176
18	1265	65327
19	1335	65456
20	1406	65592
21	1472	65480
22	1535	65221
23	1601	65109
24	1666	65004
25	1736	65053
26	1800	64897
27	1869	64885
28	1935	64797
29	2006	64878
30	2066	64601
31	2128	64393
32	2195	64333
33	2250	63928
34	2318	63934
35	2386	63913
36	2456	63933
37	2522	63864
38	2585	63702
39	2657	63779
40	2723	63698
41	2792	63689
42	2855	63544
43	2917	63385
44	2980	63254
45	3045	63161
46	3114	63145
47	3181	63097
48	3246	63000
49	3310	62897
50	3379	62893
51	3444	62791
52	3509	62710
53	3581	62747
54	3645	62628
55	3706	62480
56	3768	62351
57	3831	62227
58	3895	62125
59	3960	62044
60	4012	61764
61	4069	61565
62	4131	61443
63	4192	61309
